ID POP4
IND1 1
IND2 1
IND3 1
IND4 1
IND5 1
IND6 1
IND7 1
IND8 1
IND9 1
IND10 1
IND11 1
IND12 1
IND13 1
IND14 1
IND15 1
IND16 1
IND17 1
IND18 1
IND19 1
IND20 1
IND21 1
IND22 1
IND23 1
IND24 1
IND25 1
IND26 1
IND27 1
IND28 1
IND29 1
IND30 1
IND31 1
IND32 1
IND33 1
IND34 1
IND35 2
IND36 2
IND37 2
IND38 2
IND39 2
IND40 2
IND41 2
IND42 2
IND43 2
IND44 2
IND45 2
IND46 2
IND47 2
IND48 2
IND49 2
IND50 2
IND51 3
IND52 3
IND53 3
IND54 3
IND55 3
IND56 3
IND57 3
IND58 3
IND59 3
IND60 3
IND61 3
IND62 3
IND63 3
IND64 3
IND65 3
IND66 3
IND67 3
IND68 3
IND69 3
IND70 3
IND71 3
IND72 3
IND73 3
IND74 3
IND75 3
IND76 3
IND77 3
IND78 4
IND79 4
IND80 4
IND81 4
IND82 4
IND83 4
IND84 4
IND85 4
IND86 4
IND87 4
IND88 4
IND89 4
IND90 4
IND91 4
IND92 4
IND93 4
IND94 4
IND95 4
IND96 4
IND97 4
IND98 4
IND99 4
IND100 4
